Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,04/26/2014,39,42,39,41,MEXICO,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,04/26/2014,37,37.5,37,37.5,MEXICO,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/03/2014,45.5,45.5,45.5,45.5,CALIFORNIA,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/03/2014,39.5,39.5,39.5,39.5,CALIFORNIA,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/03/2014,20,20.5,20,20.5,CHILE,,40s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/03/2014,29,29,29,29,MEXICO,,40s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/03/2014,45.5,49,48,49,MEXICO,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/03/2014,39.5,42,40,41,MEXICO,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/03/2014,37,37.5,37,37.5,MEXICO,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/10/2014,45.5,45.5,45.5,45.5,CALIFORNIA,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/10/2014,39.5,39.5,39.5,39.5,CALIFORNIA,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/10/2014,20,20.5,20,20.5,CHILE,,40s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/10/2014,26,26,26,26,MEXICO,,36s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/10/2014,45.5,49,47.5,49,MEXICO,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/10/2014,39,44.5,39.5,44,MEXICO,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/10/2014,37,38,37,38,MEXICO,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/17/2014,47,47,47,47,CALIFORNIA,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/17/2014,41,41,41,41,CALIFORNIA,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/17/2014,35,35,35,35,CALIFORNIA,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/17/2014,36,36,36,36,CHILE,,32s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/17/2014,45,50,47.5,49.5,MEXICO,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/17/2014,41,44.5,43,44,MEXICO,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/17/2014,37.5,38,37.5,38,MEXICO,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/24/2014,48,48,48,48,CALIFORNIA,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/24/2014,41,41,41,41,CALIFORNIA,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/24/2014,35,35,35,35,CALIFORNIA,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/24/2014,36,36,36,36,CHILE,,32s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/24/2014,44,50,48.5,49.5,MEXICO,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/24/2014,41,44.5,43,44,MEXICO,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/24/2014,37.5,38,37.5,38,MEXICO,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/31/2014,48,48,48,48,CALIFORNIA,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/31/2014,41,41,41,41,CALIFORNIA,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/31/2014,35,35,35,35,CALIFORNIA,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/31/2014,44,50,44,49.5,MEXICO,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/31/2014,41,44.5,41,44,MEXICO,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,05/31/2014,37.5,38,37.5,38,MEXICO,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/07/2014,48,48,48,48,CALIFORNIA,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/07/2014,43,43,43,43,CALIFORNIA,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/07/2014,36,36,36,36,CALIFORNIA,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/07/2014,46,50,46.5,48.5,MEXICO,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/07/2014,41,44.5,43,44,MEXICO,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/07/2014,37.5,38,37.5,38,MEXICO,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/14/2014,48,49,48,49,CALIFORNIA,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/14/2014,43,47,43,47,CALIFORNIA,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/14/2014,35,39,35,39,CALIFORNIA,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/14/2014,46,50,46,50,MEXICO,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/14/2014,41,45,43,43.5,MEXICO,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/14/2014,37.5,38,37.5,38,MEXICO,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/21/2014,48,48,48,48,CALIFORNIA,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/21/2014,46,46,46,46,CALIFORNIA,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/21/2014,38,38,38,38,CALIFORNIA,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/21/2014,47,50,47,50,MEXICO,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/21/2014,41,44.5,41,44.5,MEXICO,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/21/2014,37.5,39,37.5,39,MEXICO,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/28/2014,48,48,48,48,CALIFORNIA,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/28/2014,46,46,46,46,CALIFORNIA,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/28/2014,38,38,38,38,CALIFORNIA,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/28/2014,46,49.5,46,49.5,MEXICO,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/28/2014,42,44.5,42,44.5,MEXICO,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,06/28/2014,38.5,39,38.5,39,MEXICO,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/05/2014,47,47,47,47,CALIFORNIA,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/05/2014,46,46,46,46,CALIFORNIA,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/05/2014,38,38,38,38,CALIFORNIA,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/05/2014,45,47,45,47,MEXICO,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/05/2014,42,43,42,43,MEXICO,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/05/2014,38.5,39,38.5,39,MEXICO,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/05/2014,31,36,31,36,PERU,,36s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/12/2014,47,47,47,47,CALIFORNIA,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/12/2014,47,47,47,47,CALIFORNIA,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/12/2014,39,39,39,39,CALIFORNIA,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/12/2014,45,46.5,45,46.5,MEXICO,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/12/2014,42,43.5,42,43.5,MEXICO,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/12/2014,39,39,39,39,MEXICO,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/12/2014,39,39,39,39,PERU,,40s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/19/2014,46,46,46,46,CALIFORNIA,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/19/2014,46,46,46,46,CALIFORNIA,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/19/2014,41,41,41,41,CALIFORNIA,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/19/2014,36,36,36,36,MEXICO,,40s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/19/2014,43,46.5,46,46.5,MEXICO,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/19/2014,41,43.5,42,43.5,MEXICO,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/19/2014,39,39,39,39,MEXICO,,70s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/19/2014,38,38,38,38,PERU,,40s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/26/2014,46,46,46,46,CALIFORNIA,,48s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/26/2014,46,46,46,46,CALIFORNIA,,60s,,,,,,,,,N,
AVOCADOS,ATLANTA,,cartons 2 layer,HASS,,,07/26/2014,41,41,41,41,CALIFORNIA,,70s,,,,,,,,,N,
