"Avocados: U.S. imports by value ($1,000)",,,,,,,,,,,,,,,,,,,,,,,,,
"Avocados: U.S. imports by volume (1,000 pounds)",,,,,,,,,,,,,,,,,,,,,,,,,
Avocados: U.S. imports unit value ($ per pound),,,,,,,,,,,,,,,,,,,,,,,,,
Avocados: U.S. import sources by value,,,,,,,,,,,,,,,,,,,,,,,,,
Avocados: U.S. import sources by volume,,,,,,,,,,,,,,,,,,,,,,,,,
"Avocados: U.S. exports by value ($1,000) ",,,,,,,,,,,,,,,,,,,,,,,,,
"Avocados: U.S. exports by volume (1,000 pounds)",,,,,,,,,,,,,,,,,,,,,,,,,
Avocados: U.S. exports by unit value ($ per pound),,,,,,,,,,,,,,,,,,,,,,,,,
Avocados: U.S. export destinations by value,,,,,,,,,,,,,,,,,,,,,,,,,
Avocados: U.S. export destinations by volume,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Textbox119,Textbox131,Textbox21,qq3,Textbox23,Textbox124,gen val mo_label,gen val mo_Chart4_CategoryGroup_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_Value_Y,stat_year3,gen_qty_mo8,gen_qty_mo9,gen_qty_yr3,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2015,12,114402.335,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2016,1,161250.792,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2016,2,113828.595,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2016,3,121065.564,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2016,4,120049.356,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2016,5,144378.837,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2016,6,104369.136,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2016,7,171467.47,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2016,8,164853.185,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2016,9,242517.096,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2016,10,239007.399,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2016,11,158690.14,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2016,12,175439.187,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2017,1,207387.693,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2017,2,182421.005,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2017,3,224948.272,,,,,,,,,,,,,,,,
,,,,m_usd,fresh,gen val mo,2017,4,224357.355,,,,,,,,,,,,,,,,
